sender,receiver,edge_type
teacherrogers,ISLT_FSU,retweet
teacherrogers,ChangeIt4Better,retweet
teacherrogers,DrVirtuality,retweet
teacherrogers,art_brownlow,retweet
teacherrogers,FredWBaker,retweet
teacherrogers,ruitammyhuang,retweet
teacherrogers,nangur1,retweet
teacherrogers,Happy_Tao,retweet
teacherrogers,aectclt,retweet
teacherrogers,srogidd,retweet
teacherrogers,RitaFennelly,retweet
teacherrogers,rmreese1,retweet
teacherrogers,AECT,retweet
teacherrogers,LearnEngage,retweet
teacherrogers,richardewest,retweet
teacherrogers,teacherrogers,retweet
FredWBaker,FredWBaker,retweet
FredWBaker,michaelmgrant,retweet
FredWBaker,tadousay,retweet
FredWBaker,AECT,retweet
FredWBaker,hodgesc,retweet
FredWBaker,AECT,retweet
DanDubien,veletsianos,retweet
scc_dr_johnson,VanekJen,retweet
memoryacademyge,caranorth11,retweet
AmyLomellini_ID,nicolapallitt,retweet
AmyLomellini_ID,emergeAfrica,retweet
AmyLomellini_ID,DrTerriC,retweet
ruitammyhuang,hampthephd,retweet
ruitammyhuang,hampthephd,retweet
ruitammyhuang,UF_COE,retweet
ruitammyhuang,hampthephd,retweet
14prinsp,nicolapallitt,retweet
TheMakerBit,rebeccamclark87,retweet
TheMakerBit,rebeccamclark87,retweet
mkerres,AECT,retweet
michele_estes,veletsianos,retweet
michele_estes,steph_moore,retweet
carinavr,nicolapallitt,retweet
EINS_Institute,kolorkid,retweet
EINS_Institute,tadousay,retweet
EINS_Institute,FredWBaker,retweet
EINS_Institute,steph_moore,retweet
EINS_Institute,richardewest,retweet
Czernie,nicolapallitt,retweet
